# Google_Product_Taxonomy_Version: 2015-02-19
772 - Adultos
780 - Adultos > Armas
2214 - Adultos > Armas > Acessórios e cuidados para armas
503026 - Adultos > Armas > Acessórios e cuidados para armas > Acessórios e equipamentos de recarga
499857 - Adultos > Armas > Acessórios e cuidados para armas > Acessórios e equipamentos de recarga > Prensas para recarga de munição
505762 - Adultos > Armas > Acessórios e cuidados para armas > Caixas e suportes de munição
1822 - Adultos > Armas > Acessórios e cuidados para armas > Canhões elétricos
1783 - Adultos > Armas > Acessórios e cuidados para armas > Coldres para armas
499853 - Adultos > Armas > Acessórios e cuidados para armas > Correias para armas
1806 - Adultos > Armas > Acessórios e cuidados para armas > Culatras
503021 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas
499856 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas > Esponjas para limpeza de armas
499855 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas > Panos e cotonetes para limpeza de armas
499854 - Adultos > Armas > Acessórios e cuidados para armas > Limpeza de armas > Solventes para limpeza de armas
5067 - Adultos > Armas > Acessórios e cuidados para armas > Luzes de arma
500048 - Adultos > Armas > Acessórios e cuidados para armas > Maletas e bolsas para armas
781 - Adultos > Armas > Acessórios e cuidados para armas > Munição
3924 - Adultos > Armas > Armas de bastão
727 - Adultos > Armas > Armas imobilizadoras
3437 - Adultos > Armas > Chicotes
3666 - Adultos > Armas > Espadas
3694 - Adultos > Armas > Estrelas de arremesso
6109 - Adultos > Armas > Facas militares
7175 - Adultos > Armas > Lanças e azagaias
3092 - Adultos > Armas > Nunchaku
782 - Adultos > Armas > Pistolas
7567 - Adultos > Armas > Porretes e bastões
3833 - Adultos > Armas > Soqueiras de metal
726 - Adultos > Armas > Spray de pimenta
773 - Adultos > Erótico
778 - Adultos > Erótico > Brinquedos eróticos
5055 - Adultos > Erótico > Comidas afrodisíacas
776 - Adultos > Erótico > DVDs e vídeos eróticos
6040 - Adultos > Erótico > Jogos eróticos
6536 - Adultos > Erótico > Kits para pole dancing
779 - Adultos > Erótico > Livros eróticos
4060 - Adultos > Erótico > Revistas eróticas
774 - Adultos > Erótico > Roupas eróticas
412 - Alimentos, bebidas e tabaco
422 - Alimentos, bebidas e tabaco > Alimentos
423 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos
5747 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Barras de cereais e granola
2392 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Batatinhas fritas
2432 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Biscoito de arroz
1445 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Biscoitos salgados
7327 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Bolinhos de arroz orientais
6785 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Bolinhos para o lanche
3284 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Carne seca
6847 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Complementos para saladas
5746 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Croutons
7159 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Grissini
5744 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Lanches de frutas
5745 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Mixes de tira-gosto
1534 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Pipoca
3446 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Pretzels
5743 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Pudins e gelatinas
7427 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Salgadinhos de gergelim
6192 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Salgadinhos de queijo
6194 - Alimentos, bebidas e tabaco > Alimentos > Aperitivos e petiscos > Torresmo
432 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos
4628 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Carne
5811 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Carne > Carne em conserva
5805 - Alimentos, bebidas e tabaco > Alimentos > Carne, frutos do mar e ovos > Carne > Carnes frescas e congeladas
